,open,close,high,low,volume,money
2005-09-01,928.52,944.56,944.95,926.06,2230638400.0,10558677965.0
2005-09-02,945.98,947.87,947.92,941.31,1861443800.0,8864773608.0
2005-09-05,949.08,952.72,952.99,944.63,1784331800.0,8242226133.0
2005-09-06,953.41,936.61,956.3,934.97,2122225500.0,10583985179.0
2005-09-07,934.99,952.76,952.9,932.65,1960846600.0,9956808193.0
2005-09-08,954.27,955.28,958.87,947.71,2242439300.0,11753260243.0
2005-09-09,955.11,949.07,959.9,946.02,1621931000.0,7924193974.0
2005-09-12,949.78,949.51,952.55,945.4,1167261300.0,5610130326.0
2005-09-13,949.58,963.77,963.92,948.13,1657943100.0,7999031246.0
2005-09-14,964.97,970.19,970.26,961.64,1995829100.0,9942627972.0
2005-09-15,970.58,969.6,970.96,965.66,1637767900.0,8098160518.0
2005-09-16,969.62,967.5,970.37,964.28,1397857100.0,6989327513.0
2005-09-19,967.44,971.14,971.99,964.26,1473742100.0,7427481654.0
2005-09-20,971.38,961.92,971.65,957.12,1863660400.0,9189438331.0
2005-09-21,961.37,944.41,961.37,943.82,1854189500.0,8760459022.0
2005-09-22,942.73,923.27,942.73,914.23,1811552500.0,8625589892.0
2005-09-23,921.51,916.15,927.42,914.81,1154764400.0,5549882042.0
2005-09-26,915.84,918.49,919.65,913.61,883624100.0,4398425669.0
2005-09-27,918.87,904.21,921.13,903.39,1108605600.0,5576097392.0
2005-09-28,903.33,903.72,910.33,901.38,885031000.0,4331475905.0
2005-09-29,904.28,915.98,915.98,904.28,1193897800.0,5798238295.0
2005-09-30,916.59,917.39,918.66,913.45,900143300.0,4529466676.0
2005-10-10,917.21,907.32,917.21,906.88,715845100.0,3665624376.0
2005-10-11,906.63,919.72,919.8,904.04,775829500.0,4032539378.0
2005-10-12,920.45,923.49,926.09,917.38,1220885200.0,6653231000.0
2005-10-13,923.43,916.5,926.01,916.27,1082890400.0,6021814326.0
2005-10-14,916.34,904.83,917.89,902.81,1012394000.0,5568049025.0
2005-10-17,903.27,897.62,903.27,892.36,1055250600.0,5516482064.0
2005-10-18,897.37,902.37,903.0,895.62,1136631700.0,5849997730.0
2005-10-19,902.04,898.74,907.88,897.04,1103304800.0,5474099406.0
2005-10-20,898.89,899.91,900.13,889.57,1260872500.0,6082545635.0
2005-10-21,899.64,904.41,907.79,897.99,1136458800.0,5645096184.0
2005-10-24,905.13,906.65,908.45,900.23,921898200.0,4674775354.0
2005-10-25,905.97,894.27,905.97,893.61,1121340100.0,5687104900.0
2005-10-26,892.62,875.82,892.62,873.89,1216712300.0,5911800808.0
2005-10-27,873.47,875.85,879.67,869.72,1190858800.0,5881848405.0
2005-10-28,875.86,867.73,880.21,859.69,1197337600.0,5565266453.0
2005-10-31,866.62,876.28,878.41,866.15,1044365100.0,4954801462.0
2005-11-01,875.96,872.87,875.96,862.69,1008274500.0,4762514458.0
2005-11-02,873.39,882.48,884.94,873.39,1310497300.0,6115386842.0
2005-11-03,882.19,874.58,885.68,872.11,1217918200.0,5843191842.0
2005-11-04,873.35,878.36,878.36,869.68,956731000.0,4570236086.0
2005-11-07,877.62,877.28,877.62,870.08,771325900.0,3758294613.0
2005-11-08,876.43,881.52,881.89,870.96,1012876100.0,4617261094.0
2005-11-09,881.51,879.25,884.94,878.68,1177440500.0,5544780425.0
2005-11-10,878.63,862.97,878.63,862.09,1085377100.0,5071603818.0
2005-11-11,861.22,864.79,867.33,857.79,921972000.0,4221479222.0
2005-11-14,864.08,862.15,864.25,858.34,627167400.0,2924317719.0
2005-11-15,862.07,856.63,867.46,853.86,825247800.0,4158739868.0
2005-11-16,855.45,863.12,863.17,847.49,906613800.0,4185382359.0
2005-11-17,863.08,862.66,865.79,859.0,881163700.0,4120494742.0
2005-11-18,862.58,882.24,886.58,862.4,1759780300.0,8353934317.0
2005-11-21,882.79,883.87,886.11,880.3,1025996300.0,4897254555.0
2005-11-22,883.93,869.62,883.93,869.53,1059723600.0,4500600972.0
2005-11-23,868.0,876.23,876.82,866.19,991692000.0,3944070407.0
2005-11-24,875.83,881.49,885.75,874.88,1462900800.0,6102429919.0
2005-11-25,881.25,884.11,884.16,877.26,1300354600.0,5127946933.0
2005-11-28,883.24,880.17,886.74,877.64,973973500.0,4239101597.0
2005-11-29,879.25,871.31,879.25,870.56,841499400.0,3597357382.0
2005-11-30,870.45,873.83,873.93,866.98,804073800.0,3676845309.0
2005-12-01,873.47,873.07,877.31,870.7,706923500.0,3355702993.0
2005-12-02,872.93,869.94,875.83,866.37,849202100.0,3937214093.0
2005-12-05,869.43,859.61,869.43,858.86,1028689700.0,4606548004.0
2005-12-06,858.11,866.08,867.19,855.72,1030351400.0,4737134619.0
2005-12-07,865.72,873.84,874.0,865.02,984295500.0,4368779146.0
2005-12-08,874.13,874.06,877.97,870.12,1025917400.0,5018813137.0
2005-12-09,873.69,887.36,887.57,871.26,1271952600.0,5793086795.0
2005-12-12,887.06,888.52,890.69,884.26,1069928000.0,5082260512.0
2005-12-13,888.0,889.1,889.22,880.74,1054723800.0,5148218278.0
2005-12-14,888.6,898.15,899.01,884.37,1386837600.0,6757243552.0
2005-12-15,898.38,896.43,904.01,895.17,1625978200.0,7498123901.0
2005-12-16,895.83,902.56,902.75,894.1,1145210700.0,5418465602.0
2005-12-19,902.05,902.91,904.47,898.79,993632700.0,4380561278.0
2005-12-20,902.75,907.32,907.32,899.66,1029465900.0,4665761570.0
2005-12-21,907.05,903.14,910.93,902.11,1027397600.0,4892864878.0
2005-12-22,902.37,908.75,909.06,900.66,894702600.0,4441384591.0
2005-12-23,908.96,915.89,915.89,908.51,1190699900.0,5799046691.0
2005-12-26,916.67,922.38,925.0,916.41,1534265000.0,7501782773.0
2005-12-27,922.44,919.36,922.44,916.0,1205035900.0,5640640118.0
2005-12-28,919.05,920.92,920.98,915.12,1213103200.0,5731256513.0
2005-12-29,921.14,932.03,932.03,921.14,1725495900.0,8798040548.0
2005-12-30,933.45,923.45,934.0,921.83,1560025100.0,8517980122.0
2006-01-04,926.56,941.43,941.43,926.41,2112689900.0,11442608327.0
2006-01-05,943.85,959.13,959.63,942.31,2731174300.0,14693493720.0
2006-01-06,961.91,970.03,975.63,956.04,3028636800.0,16170989866.0
2006-01-09,971.09,975.25,976.27,966.05,2432955200.0,12626400277.0
2006-01-10,975.28,978.15,978.28,964.43,2273530200.0,12344022953.0
2006-01-11,977.64,973.48,983.39,963.39,2652413800.0,13488346780.0
2006-01-12,972.39,983.72,984.08,968.54,2189668000.0,11028175836.0
2006-01-13,985.04,978.81,988.11,973.68,2228186100.0,11215633222.0
2006-01-16,977.89,961.44,977.89,960.88,2030521500.0,9896151721.0
2006-01-17,959.39,964.29,965.98,952.23,1603727600.0,8076118846.0
2006-01-18,964.16,983.62,984.67,963.08,2082351800.0,10389841771.0
2006-01-19,985.22,991.22,992.27,978.28,2645560900.0,12714862349.0
2006-01-20,991.57,993.34,994.5,987.06,2614706200.0,12929890431.0
2006-01-23,993.74,996.16,997.33,989.34,2254601900.0,11459294356.0
2006-01-24,997.79,999.09,1006.15,993.39,2419799100.0,13914239772.0
2006-01-25,998.84,1009.6,1009.65,989.51,2180075800.0,11644197379.0
2006-02-06,1013.42,1033.23,1033.35,1012.81,2503877100.0,13466978183.0
2006-02-07,1034.68,1029.94,1038.5,1019.94,3295478700.0,17669257813.0
2006-02-08,1028.44,1033.07,1033.4,1022.94,2698672900.0,13692515175.0
2006-02-09,1033.19,1019.6,1033.19,1017.05,2383960100.0,12115067169.0
2006-02-10,1019.42,1032.34,1032.6,1018.48,2202445300.0,11411753871.0
2006-02-13,1034.38,1031.61,1034.64,1021.84,2215729800.0,11454695538.0
2006-02-14,1032.64,1038.53,1038.81,1030.46,1855622000.0,9730559347.0
2006-02-15,1040.33,1041.66,1048.34,1038.74,2478462800.0,12747811508.0
2006-02-16,1041.66,1020.12,1041.66,1019.21,2615989200.0,13407183725.0
2006-02-17,1020.06,1020.37,1028.57,1015.99,2102687500.0,10774127956.0
2006-02-20,1020.74,1021.64,1030.05,1020.01,1881888300.0,10303300141.0
2006-02-21,1020.98,1038.82,1038.94,1014.66,2367803900.0,13180216400.0
2006-02-22,1039.65,1037.88,1046.45,1036.38,2538070400.0,13435059019.0
2006-02-23,1038.25,1041.37,1041.59,1029.25,1978503700.0,10259755542.0
2006-02-24,1041.97,1049.44,1049.69,1041.97,1967610400.0,10286380796.0
2006-02-27,1055.95,1047.85,1057.22,1045.97,2287209900.0,12520438962.0
2006-02-28,1046.71,1053.01,1053.72,1033.66,1935326700.0,10427830678.0
2006-03-01,1051.76,1056.62,1057.69,1049.64,1942573000.0,10518419421.0
2006-03-02,1055.86,1038.67,1056.05,1034.68,2487786100.0,13748692907.0
